titulo;autores;isbn;calificacion_promedio
Aliens: Nightmare Asylum;Steve Perry;553561588;3.67
The Omega Cage (Matador  #4);Steve Perry-Michael Reaves;441623824;3.77
The 97th Step (Matador  #5);Steve Perry;441581056;4.22
A Friar's Bloodfeud (Knights Templar  #20);Michael Jecks;755323009;4.1
Death Ship of Dartmouth (Knights Templar  #21);Michael Jecks;755323017;4.07
The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History;Don Macmillan-Wayne G. Broehl Jr.;076032963X;4.75
Phantoms;Rosalind M. Greenberg;886773482;3.38
Fantasy Gone Wrong;Martin H. Greenberg-Brittiany A. Koren-Brian Stableford-Mickey Zucker Reichert-Fiona Patton-Jim C. Hines-Esther M. Friesner-Donald J. Bingle-Alan Dean Foster-Devon Monk-Phaedra M. Weldon-Christina F. York-Jana Paniccia-Josepha Sherman-Susan Sizemore-Michael Jasper-Janny Wurts-Lisanne Norman;756403804;3.46
The Ghosts in Baker Street: New Tales of Sherlock Holmes;Martin H. Greenberg-Daniel Stashower;078671400X;3.55
Christmas Bestiary;Martin H. Greenberg-Jack Nimersheim-Jane Yolen-Jack C. Haldeman II-Harry Turtledove-Laura Resnick-Mike Resnick-Karen Haber-Jane Lindskold-Lawrence Schimel-Barry N. Malzberg-Tanya Huff-Michelle Sagara West-Mark Aronson-Stefan R. Dziemianowicz-Jennifer Roberson-Kristine Kathryn Rusch-Elizabeth Ann Scarborough-Barbara Delaplace-Barb Jernigan-Blake Cahoon;886775280;3.62
Black Cats and Broken Mirrors;John Helfers-Esther M. Friesner-Nina Kiriki Hoffman-Bruce Holland Rogers-Peter Crowther-R. Davis-Charles de Lint-Elizabeth Ann Scarborough-Michelle Sagara West-Nancy Springer-Dean Wesley Smith-Kristine Kathryn Rusch-Josepha Sherman-Jane Lindskold-Genevieve Gorman-Kristin Schwengel-Jean-François Podevin-Zane Stillings-Carol Rondou;886777887;3.34
Time Twisters;Jean Rabe-Martin H. Greenberg-Stephen Leigh-Gene DeWeese-Joe Masdon-Donald J. Bingle-Skip Williams-Penny Williams-Pierce Askegren-Nancy Virginia Varian-Wes Nicholson-John Helfers-Chris Pierson-Harry Turtledove-Kevin J. Anderson-Robert E. Vardeman-Jackie Cassada-James M. Ward-Jon L. Breen-Linda P. Baker;756404053;3.34
The Western Canon: The Books and School of the Ages;Harold Bloom;1573225142;3.87
Shakespeare: The Invention of the Human;Harold Bloom;157322751X;4.02
The American Religion;Harold Bloom;978721004;3.77
American Caesar: Douglas MacArthur 1880-1964;William Manchester;316544981;4.14
Winchester Shotguns;Dennis Adler-R.L. Wilson;785821082;5.0
Colossians and Philemon: A Critical and Exegetical Commentary (International Critical Commentary);R. McL. Wilson;567044718;5.0
Maurice Sendak's Seven Little Monsters: What Time is It? - Book #4;Arthur Yorinks-Raymond Jafelice;078681778X;2.75
Meditations for Manifesting: Morning and Evening Meditations to Literally Create Your Heart's Desire;Wayne W. Dyer;156170315X;3.98
The Art of Seduction;Robert Greene;1861977697;4.06
Michael Smith Elements of Style;Michael S.  Smith-Diane Dorrans Saeks;847827623;4.12
Freedom;Michael W.  Smith;634041126;3.8
Spares;Michael Marshall Smith;6512674;4.13
One of Us;Michael Marshall Smith;553580698;4.04
The Secret City (Pyrates  #1);Chris Archer;439368510;4.1
The Theory and Practice of Group Psychotherapy;Irvin D. Yalom-Molyn Leszcz;465092845;4.16
When Nietzsche Wept;Irvin D. Yalom;60748125;4.3
Existential Psychotherapy;Irvin D. Yalom;465021476;4.38
Crown of Stars (Crown of Stars  #7);Kate Elliott;756404061;3.91
Crown Duel (Crown & Court #1-2);Sherwood Smith;142301515;4.19
A Rose for the Crown;Anne Easter Smith;743276876;4.02
The Bloody Crown of Conan (Conan the Cimmerian  #2);Robert E. Howard-Gary Gianni-Patrice Louinet;345461525;4.29
Rough Crossings: Britain  the Slaves and the American Revolution;Simon Schama;006053916X;3.97
Landscape and Memory;Simon Schama;679735127;4.17
The Embarrassment of Riches: An Interpretation of Dutch Culture in the Golden Age;Simon Schama;679781242;4.06
Citizens: A Chronicle of the French Revolution;Simon Schama;141017279;3.98
The Feelings Book: The Care & Keeping of Your Emotions;Lynda Madison-Bonnie Timmons-Norm Bendell;1584855282;4.15
A Smart Girl's Guide to Money: How to Make It  Save It  And Spend It;Nancy Holyoke-Ali Douglass;1593691033;4.13
What Would You Do? (American Girl Library);Patti Kelley Criswell-Norm Bendell;1584858745;4.3
What Color Is Your Parachute? 1977: A Practical Manual For Job Hunters & Career Changers;Richard Nelson Bolles;913668060;3.69
The Halloween Activity Book: Creepy  Crawly  Hairy  Scary Things to Do;Mymi Doinet-Benjamin Chaud;811832791;2.0
Tregaron's Daughter;Madeleine Brent;385003234;4.13
The Capricorn Stone;Madeleine Brent;044920149X;3.9
Golden Urchin;Madeleine Brent;449213897;4.09
The Ethics of Ambiguity;Simone de Beauvoir-Bernard Frechtman;080650160X;4.14
She Came to Stay;Simone de Beauvoir;6540805;3.9
The Coming of Age;Simone de Beauvoir-Patrick O'Brian;039331443X;3.89
A Transatlantic Love Affair: Letters to Nelson Algren;Simone de Beauvoir-Nelson Algren-Sylvie Le Bon de Beauvoir-Vanessa Kling-Ellen Gordon Reeves;1565845609;4.01
La Force de l'âge;Simone de Beauvoir;2070377822;4.15
What Life Was Like When Rome Ruled the World: The Roman Empire  100 BC - AD 200 (What Life Was Like);Time-Life Books;783554524;3.84
Sudden Fiction International: 60 Short-Short Stories;Robert Shapard-James Thomas;393306135;3.77
Sudden Fiction: American Short-Short Stories;Robert Shapard-James Thomas;879052651;3.85
Sarah Bernhardt;Elizabeth Silverthorne-Betty McCollum;791074587;4.0
The Art of Controversy (The Essays of Arthur Schopenhauer);Thomas Bailey Saunders;141916130X;3.59
The Wisdom of Life;Arthur Schopenhauer-Thomas Bailey Saunders;486435504;4.14
On Human Nature (The Essays of Arthur Schopenhauer);Arthur Schopenhauer-Thomas Bailey Saunders;1406800449;4.01
For All Time (Time Travelers  #4);Caroline B. Cooney;440229316;3.91
Wanted!;Caroline B. Cooney;590988492;3.68
The Time Travelers: Volume One;Caroline B. Cooney;553494805;3.94
The Stranger;Caroline B. Cooney;590456806;3.55
Every Night Italian: Every Night Italian;Giuliano Hazan-Marcella Hazan-Dana Gallagher;684800284;3.75
More Classic Italian Cooking;Marcella Hazan;345314034;4.47
Practice Makes Perfect: Italian Verb Tenses;Paola Nanni-Tate;71451382;4.0
Effigies (Faye Longchamp  #3);Mary Anna Evans;1590583426;4.02
The Cambridge Companion to Schopenhauer;Christopher Janaway;521629241;3.89
Stormie: A Story of Forgiveness and Healing;Stormie Omartian;1565078322;4.39
The Orion Mystery: Unlocking the Secrets of the Pyramids;Robert Bauval-Adrian Geoffrey Gilbert;517884542;3.93
Orion (Orion  #1);Ben Bova;812532473;3.71
Lake Orion (Images of America: Michigan);James E. Ingram-Lori Grove;738539562;5.0
Rick Steves' Europe Through the Back Door;Rick Steves;1566918081;4.24
A Dangerous Man (Hank Thompson  #3);Charlie Huston;034548133X;4.07
Already Dead (Joe Pitt  #1);Charlie Huston;034547824X;3.79
Caught Stealing (Hank Thompson  #1);Charlie Huston;345464788;4.05
Ultimate Annuals  Volume 2;Charlie Huston-Mike Carey-Brian Michael Bendis-Robert Kirkman-Mike Deodato-Ryan Sook-Stuart Immonen-Frazier Irving;785123717;3.2
Dead I Well May Be (Dead Trilogy #1);Adrian McKinty;743470567;3.98
The Dead Yard (Michael Forsythe #2);Adrian McKinty;743499484;4.12
The Lighthouse Land (Lighthouse Trilogy #1);Adrian McKinty;081095480X;3.6
Spider Mountain (Cam Richter  #2);P.T. Deutermann;031233379X;3.91
The Edge of Honor;P.T. Deutermann;312953968;3.96
The Firefly;P.T. Deutermann;312994818;3.76
Diary of a Spider;Doreen Cronin-Harry Bliss;60001534;4.25
The Snow Spider (Snow Spider Trilogy  #1);Jenny Nimmo;439846757;3.69
Ultimate Spider-Man  Volume 16: Deadpool;Brian Michael Bendis-Mark Bagley;785119272;3.7
Ultimate Spider-Man  Volume 7;Brian Michael Bendis-Mark Bagley;078512148X;4.08
Fables: 1001 Nights of Snowfall;Bill Willingham-Esao Andrews-John Bolton-Mark Buckingham-James Jean-Derek Kirk Kim-Tara  McPherson-Jill Thompson-Mark Wheatley-Michael Wm. Kaluta-Charles Vess-Brian Bolland;1401203671;4.13
Cold Fire / Hideaway / The Key to Midnight;Dean Koontz-Leigh Nichols;399146261;4.17
Fables  Vol. 8: Wolves;Bill Willingham-Mark Buckingham-Steve Leialoha-Shawn McManus-Andrew Pepoy;1401210015;4.28
Fables  Vol. 4: March of the Wooden Soldiers;Bill Willingham-Mark Buckingham-Craig Hamilton-Steve Leialoha-P. Craig Russell;1401202225;4.29
Fables  Vol. 1: Legends in Exile;Bill Willingham-Terry Moore-Mike Allred-Lan Medina-Mark Buckingham-Matthew Sturges-Steve Leialoha-Craig Hamilton-Russ Braun-James Jean-Tony Akins-Eric Shanower-Shawn McManus-Jae Lee-Chrissie Zullo-David Petersen;1563899426;3.97
Fables  Vol. 7: Arabian Nights [and Days] (Fables  #7);Bill Willingham-Mark Buckingham-Steve Leialoha-Jim Fern-Jimmy Palmiotti-Andrew Pepoy;1401210007;4.1
Fables  Vol. 6: Homelands;Bill Willingham-David Hahn-Mark Buckingham-Lan Medina-Steve Leialoha;1401205003;4.28
Fables  Vol. 3: Storybook Love;Bill Willingham-Bryan Talbot-Lan Medina-Mark Buckingham-Linda Medley-Steve Leialoha-James Jean;140120256X;4.13
Fables  Vol. 5: The Mean Seasons;Bill Willingham-Mark Buckingham-Steve Leialoha-Tony Akins-Jimmy Palmiotti;1401204864;4.19
The Choice: A Fable of Free Trade and Protectionism;Russell Roberts-Russ Roberts;131433547;3.76
Prodigal Son (Dean Koontz's Frankenstein  #1);Dean Koontz-Kevin J. Anderson-Scott Brick;141591561X;4.02
Brewer's Dictionary of Phrase and Fable;John Ayto;61121207;4.37
Jack of Fables  Vol. 1: The (Nearly) Great Escape;Bill Willingham-Matthew Sturges-Tony Akins-Andrew Pepoy;1401212220;3.58
Math Fables;Greg Tang-Heather Cahoon;043945400X;4.06
The Five Dysfunctions of a Team: A Leadership Fable;Patrick Lencioni;787960756;4.02
Aesop's Fables;Aesop-Laura Harris-Laura Gibbs;192840509;4.05
Icebound;David Axton-Dean Koontz-Paul Michael;739341413;3.76
Odd Thomas (Odd Thomas #1);Dean Koontz-David Baker;739301764;3.96
Seize the Night (Moonlight Bay  #2);Dean Koontz-Keith Szarabajka;553479016;4.08
From the Corner of His Eye;Dean Koontz-Stephen Lang;553502697;4.02
The Good Guy;Dean Koontz-Richard Ferrrone;739332937;3.82
Pompeii;Robert   Harris-Michael Cumpsty;739341774;3.81
2nd Chance (Women's Murder Club #2);James Patterson-Melissa Leo-Jeremy Piven-Andrew Gross;1594831165;4.03
The Big Bad Wolf;James Patterson-Peter J. Fernandez-Denis O'Hare;1586215809;3.99
Pop Goes the Weasel;James Patterson-Roger Rees-Keith David;1594836116;3.99
The Winds of War (The Henry Family  #1);Herman Wouk;316952664;4.37
Hollywood Station (Hollywood Station  #1);Joseph Wambaugh;316066141;3.72
The Choirboys;Joseph Wambaugh;752851314;4.06
Fire Lover: A True Story;Joseph Wambaugh;006009527X;3.7
Floaters;Joseph Wambaugh;553575953;3.5
The New Centurions;Joseph Wambaugh;440164176;3.93
The Black Marble;Joseph Wambaugh;440613965;3.81
The Blue Knight;Joseph Wambaugh;440215811;3.88
The Secrets of Harry Bright;Joseph Wambaugh;722189141;3.75
Lines and Shadows;Joseph Wambaugh;553763253;3.79
The Glitter Dome;Joseph Wambaugh;553263021;3.73
Hollywood Tough (Shane Scully  #3);Stephen J. Cannell-Paul Michael-Michael Prichard;1559278226;3.85
Cold Hit (Shane Scully #5);Stephen J. Cannell-Scott Brick;1593977735;3.85
"Trunk Music (Harry Bosch  #5; Harry Bosch Universe  #6)";Michael Connelly-Dick Hill;1423323386;4.17
Angels Flight (Harry Bosch  #6);Michael Connelly-Dick Hill;159737685X;4.16
"The Black Echo (Harry Bosch  #1; Harry Bosch Universe  #1)";Michael Connelly-Dick Hill;1423323254;4.1
"The Closers (Harry Bosch  #11; Harry Bosch Universe  #14)";Michael Connelly-Len Cariou;1594830207;4.12
Echo Park (Harry Bosch  #12);Michael Connelly-Len Cariou;1594835896;4.11
The Poet;Michael Connelly-Buck Schirner;1423323238;4.2
The Concrete Blonde (Harry Bosch  #3);Michael Connelly-Dick Hill;1596009209;4.15
The Best American Mystery Stories 2003;Michael Connelly-Otto Penzler;618390723;3.6
Hundred-Dollar Baby (Spenser  #34);Robert B. Parker-Joe Mantegna;739318659;3.82
The Spenser Collection: Volume I (Spenser  #27-28);Robert B. Parker-Joe Mantegna;739340190;4.24
School Days (Spenser  #33);Robert B. Parker-Joe Mantegna;739318616;3.87
Potshot (Spenser  #28);Robert B. Parker-Joe Mantegna;553702467;3.89
Chance (Spenser  #23);Robert B. Parker-Burt Reynolds;787107123;4.1
Camouflage;Joe Haldeman;441012523;3.63
The Accidental Time Machine;Joe Haldeman;441014992;3.7
A Separate War and Other Stories;Joe Haldeman-Connie Willis;441014070;3.66
Old Twentieth;Joe Haldeman;441013430;3.53
The Forever War (The Forever War  #1);Joe Haldeman;60510862;4.15
Worlds;Joe Haldeman;575073616;3.51
Worlds Enough and Time (Worlds #3);Joe Haldeman;688090257;3.7
The Coming;Joe Haldeman;441008763;3.08
Forever Peace (The Forever War  #2);Joe Haldeman;441005667;3.74
Forever Free (The Forever War  #3);Joe Haldeman;1857989317;3.42
Dealing in Futures;Joe Haldeman;451452585;3.72
The Long Habit Of Living;Joe Haldeman;450535363;3.61
Study War No More: A Selection of Alternatives;Joe Haldeman-William Nabors-Harry Harrison-Damon Knight-Harlan Ellison-Ben Bova-Poul Anderson-Isaac Asimov-Mack Reynolds-Alec Effinger;380405199;3.56
Worlds Enough and Time (worlds  #3);Joe Haldeman;380708019;3.7
Not of Woman Born;Constance Ash-Nina Kiriki Hoffman-Patricia A. McKillip-Walter Jon Williams-Debra Doyle-James D. Macdonald-Kara Dalkey-Michael Armstrong-Richard Parks-Sage Walker-Susan Palwick-William F. Wu-Jack McDevitt-Janni Lee Simner-Robert Silverberg;451456815;3.8
Alien Stars (Alien Stars  1);C.J. Cherryh-Joe Haldeman-Timothy Zahn;671559346;3.55
Worlds Apart (Worlds 2);Joe Haldeman;380716828;3.7
Train_man  Volume 3 (Train_man);Hidenori Hara-Hitori Nakano;1421508508;3.96
The Best American Mystery Stories 2004;Nelson DeMille-Otto Penzler;618497420;3.53
Mystic River;Dennis Lehane;60584750;4.18
Mystic River;Dennis Lehane-Maria Via;8478710493;4.18
Mystic River;Dennis Lehane;593047508;4.18
Mystic River;Dennis Lehane;553816160;4.18
Darkness  Take My Hand (Kenzie & Gennaro  #2);Dennis Lehane;055350584X;4.17
Coronado: Stories;Dennis Lehane;006113967X;3.38
Prayers for Rain (Kenzie & Gennaro  #5);Dennis Lehane;380730367;4.09
A Drink Before the War (Kenzie & Gennaro  #1);Dennis Lehane;156029022;3.95
Shutter Island;Dennis Lehane;038073186X;4.09
Regenzauber;Dennis Lehane;3548251730;4.09
The Best American Mystery Stories 2002;James Ellroy-Otto Penzler-John Biguenet-Michael Connelly-Thomas H. Cook-Sean Doolittle-Brendan DuBois-David Edgerley Gates-Joe Gores-James Grady-Clark Howard-Stuart M. Kaminsky-Joe R. Lansdale-Michael Malone-Annette Meyers-Joyce Carol Oates-Robert B. Parker-F.X. Toole-Daniel Waterman-Scott Wolven-Fred Melton;618258078;3.54
The Black Dahlia (L.A. Quartet  #1);James Ellroy;446698873;3.75
The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles;Donald H. Wolfe;60582502;3.84
Corroborating Evidence: The Black Dahlia Murder;William T. Rasmussen;865344922;3.3
Childhood Shadows: The Hidden Story of the Black Dahlia Murder;Mary  Pacios;1585004847;3.5
Triptych (Will Trent  #1);Karin Slaughter;385339461;4.14
Blindsighted (Grant County  #1);Karin Slaughter;380820889;4.1
Kisscut (Grant County  #2);Karin Slaughter;60534044;4.11
Beyond Reach (Grant County  #6);Karin Slaughter;038533947X;4.19
A Faint Cold Fear (Grant County  #3);Karin Slaughter;60534052;4.1
Faithless (Grant County  #5);Karin Slaughter;440242916;4.12
Like A Charm;Karin Slaughter-Peter Robinson-John Connolly-Denise Mina-Mark Billingham;60583312;3.5
Blindsighted (Grant County  #1);Karin Slaughter;60759720;4.1
Like a Charm;Karin Slaughter-Denise Mina-John Harvey-Kelley Armstrong-John Connolly-Emma Donoghue-Jane Haddam-Laura Lippman-Peter Robinson-Fidelis Morgan-Peter Moore Smith-Lynda La Plante-Jerrilyn Farmer-Lee Child-Mark Billingham;99462257;3.5
The Ruins;Scott B. Smith;1400043875;3.54
The Enemy (Jack Reacher  #8);Lee Child-Dick Hill;1593553943;4.17
The Visitor (Jack Reacher  #4);Lee Child-Hayward Morse-Garrick Hagon;1860428789;4.09
Tripwire (Jack Reacher  #3);Lee Child-Dick Hill;1567408346;4.09
Killing Floor (Jack Reacher  #1);Lee Child-Dick Hill;159355558X;4.05
Without Fail (Jack Reacher  #6);Lee Child-Dick Hill;1590860624;4.16
The Enemy (Jack Reacher  #8);Lee Child-Dick Hill;1590864093;4.17
One Shot (Jack Reacher  #9);Lee Child-Dick Hill;1593555199;4.21
Bad Luck and Trouble (Jack Reacher  #11);Lee Child;739340670;4.19
The Enemy (Jack Reacher  #8);Lee Child;1423319613;4.17
The Visitor (Jack Reacher  #4);Lee Child-Hayward Morse;1860429165;4.09
Echo Burning (Jack Reacher  #5);Lee Child;1423319524;4.0
Tripwire (Jack Reacher  #3);Lee Child-Dick Hill;1593358725;4.09
The Enemy (Jack Reacher  #8);Lee Child-Dick Hill;1593553994;4.17
The Enemy (Jack Reacher  #8);Lee Child-Dick Hill;1593354746;4.17
Tripwire (Jack Reacher  #3);Lee Child-Dick Hill;1593555601;4.09
Tripwire (Jack Reacher  #3);Lee Child-Dick Hill;1593357389;4.09
The Enemy (Jack Reacher  #8);Lee Child-Dick Hill;1593353154;4.17
The Blood of the Moon: Understanding the Historic Struggle Between Islam and Western Civilization;George Grant;785265430;3.69
Blood on the Moon (Lloyd Hopkins  #1);James Ellroy;140009528X;3.45
Blood Moon Over Bengal;Morag McKendrick Pippin;843954523;3.45
Blood Moon Over Britain;Morag McKendrick Pippin;843955821;3.44
The Silent Gondoliers;William Goldman;345442636;3.8
The Season: A Candid Look at Broadway;William Goldman;879100230;4.1
Heat;William Goldman;446300004;3.38
Tinsel;William Goldman;440187354;3.18
William Goldman: Four Screenplays;William Goldman;155783198X;4.27
The Princess Bride;William Goldman;345418263;4.26
Marathon Man;William Goldman;330247042;4.12
Hype and Glory;William Goldman-P. Gethers;679734783;3.69
La princesa prometida;William Goldman;8427030975;4.26
Brothers (Babe Levy #2);William Goldman;246124377;3.54
Boys and Girls Together;William Goldman;345439732;3.67
La princesa prometida;William Goldman-Celia Filipetto;8427030630;4.26
Die Brautprinzessin;William Goldman;3608932267;4.26
Wait Till Next Year: The Story of a Season When What Should've Happened Didn't  and What Could've Gone Wrong Did;William Goldman-Mike Lupica;553053191;3.89
The Princess Bride: S. Morgenstern's Classic Tale of True Love and High Adventure;William Goldman;151730857;4.26
Creepers;David Morrell;1593153570;3.65
The Totem;David Morrell;446691909;3.59
The League of Night and Fog (Mortalis  #3);David Morrell;446691925;4.1
Scavenger (Frank Balenger  #2);David Morrell;1593154410;3.6
The Fraternity Of The Stone (Mortalis  #2);David Morrell;074723891X;4.16
The Brotherhood of the Rose (Mortalis  #1);David Morrell;747238901;4.13
The Protector (Cavanaugh #1);David Morrell;446530689;3.94
Assumed Identity;David Morrell;446600709;3.78
Double Image;David Morrell;2253172286;3.54
Black Evening;David Morrell;747266972;3.85
First Blood;David Morrell;214668142;3.98
La Cinquième profession;David Morrell;2253060704;3.99
The Last Kingdom (The Saxon Stories  #1);Bernard Cornwell-Jamie Glover;61126578;4.25
The Last Kingdom (The Saxon Stories  #1);Bernard Cornwell-Tom Sellwood;792734750;4.25
The Last Kingdom (The Saxon Stories  #1);Bernard Cornwell-Jamie Glover;60759259;4.25
Time To Hunt (Bob Lee Swagger  #3);Stephen Hunter-Beau Bridges;055345580X;4.26
Black Light (Bob Lee Swagger  #2);Stephen Hunter-Beau Bridges;055347748X;4.12
The Day Before Midnight;Stephen Hunter-Philip Bosco;553452118;4.0
Hot Springs (Earl Swagger  #1);Stephen Hunter-Jay O. Sanders;743500261;4.13
Point Of Impact (Bob Lee Swagger  #1);Stephen Hunter-Beau Bridges;739344242;4.26
Dirty White Boys;Stephen Hunter-Will Patten;1570421927;4.05
Bevor es Nacht wird. Ein Leben in Havanna;Reinaldo Arenas;3423129867;4.17
"The Book of the Dead  (Pendergast  #7; Diogenes  #3)";Douglas Preston-Lincoln Child-Scott Brick;1594832285;4.14
Relic (Pendergast #1);Douglas Preston-Lincoln Child;1423330412;4.02
The Wheel of Darkness (Pendergast  #8);Douglas Preston-Lincoln Child;1594839417;3.93
Tyrannosaur Canyon;Douglas Preston-Scott Sowers;1593977794;3.81
"Brimstone  (Pendergast  #5; Diogenes  #1)";Douglas Preston-Lincoln Child-Scott Brick;1415903735;4.14
Waterworks;E.L. Doctorow-Sam Waterston;679433724;3.44
The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed America;Erik Larson-Tony Goldwyn;739303406;3.99
King Icahn;Mark       Stevens-Carol Bloom Stevens;525936130;3.97
The Sicilian;Mario Puzo;345441702;3.96
The Dark Arena;Mario Puzo;345441699;3.35
Omerta;Mario Puzo;345432401;3.7
The Godfather;Mario Puzo;451208447;4.37
Fools Die;Mario Puzo;451160193;3.71
The Godfather;Mario Puzo-Peter Bart-Robert Thompson;451217403;4.37
The Fortunate Pilgrim;Mario Puzo;345476727;3.82
Mamma Lucia;Mario Puzo-Gisela Stege;3548249418;3.82
L'ultimo padrino;Mario Puzo;8878184055;3.82
Le Parrain;Mario Puzo-Jean Perrier;2221097793;4.37
On the Road to Perdition — Oasis  Sanctuary  and Detour — (Road to Perdition  #2);Max Allan Collins-José Luis García-López-Steve Lieber-Josef Rubinstein-Rob Leigh-Bob Lappan;1401203574;3.64
Oasis (On the Road to Perdition  #1);Max Allan Collins-Steve Lieber-Josef Rubinstein-Rob Leigh-José Luis García-López-Bob Lappan;1401200680;3.54
Double Dealer (CSI: Crime Scene Investigation  #1);Max Allan Collins-Mike Flaherty;743444043;3.65
The London Blitz Murders (Disaster Series  #5);Max Allan Collins;425198057;3.72
The Last Quarry (Quarry #7);Max Allan Collins;843955937;3.92
Snake Eyes (CSI: Crime Scene Investigation  #8);Max Allan Collins;743496655;3.76
A Killing in Comics (Jack & Maggie Starr  #1);Max Allan Collins-Terry Beatty;042521365X;3.65
The War of the Worlds Murder (Disaster Series  #6);Max Allan Collins;425204014;3.7
From a Buick 8;Stephen King;743211375;3.44
The Michael Crichton Collection: Jurassic Park / The Lost World / The Andromeda Strain;Michael Crichton-Chris Noth-Anthony Heald;375415807;4.29
Presa;Michael Crichton;8497932447;3.75
Westworld;Michael Crichton;553084410;3.66
Jurassic Park;Michael Crichton;345418956;4.01
Binary;John Lange;394479874;3.52
Acoso;Michael Crichton;8401466814;3.78
Parque Jurásico (Parque Jurásico  #1);Michael Crichton-Daniel R. Yagolkowski;840149236X;4.01
La Variété Andromède;Michael Crichton;2266115642;3.89
Un train d'or pour la Crimée;Michael Crichton;226607007X;3.85
Zaman Tüneli;Michael Crichton;9751017025;3.84
The Voices of Morebath: Reformation and Rebellion in an English Village;Eamon Duffy;300098251;3.7
Imperial Life in the Emerald City: Inside Iraq's Green Zone;Rajiv Chandrasekaran;1400044871;4.02
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel;Stephen Leeb-Glen C. Strathy;446699004;3.39
Betrayal of Trust: The Collapse of Global Public Health;Laurie Garrett-Steven M. Wolinsky;786884401;4.11
Crash Proof: How to Profit from the Coming Economic Collapse;Peter D. Schiff-John Downes;470043601;3.79
On Late Style: Music and Literature Against the Grain;Edward W. Said;037542105X;3.92
The World  the Text  and the Critic;Edward W. Said-إدوارد سعيد;674961870;4.19
Culture and Imperialism;Edward W. Said;679750541;4.15
Out of Place;Edward W. Said;1862073708;3.96
La economía Long Tail;Chris Anderson-Federico Villegas Silva Lezama;8493464260;3.81
Prioritizing Web Usability;Jakob Nielsen-Hoa Loranger;321350316;3.96
Homepage Usability: 50 Websites Deconstructed;Jakob Nielsen-Marie Tahir;073571102X;3.72
Let My People Go Surfing: The Education of a Reluctant Businessman;Yvon Chouinard;143037838;4.21
Ten Little Indians;Agatha Christie;671801511;4.25
And Then There Were None;Agatha Christie-Hugh Fraser;1572704497;4.25
The Wild Trees: A Story of Passion and Daring;Richard   Preston;1400064899;4.08
The Boat of Dreams: A Christmas Story;Richard   Preston-George Henry Jennings;074324592X;3.31
Strange Pilgrims;Gabriel García Márquez;1400034698;4.03
Doce cuentos peregrinos;Gabriel García Márquez;1400034949;4.03
The Pilot's Wife;Anita Shreve;349114765;3.52
Would I Lie to You (Gossip Girl  #10);Cecily von Ziegesar;316011835;3.59
Gossip Girl (Gossip Girl  #1);Cecily von Ziegesar;316910333;3.51
All I Want is Everything (Gossip Girl  #3);Cecily von Ziegesar;316912123;3.55
You're the One That I Want (Gossip Girl  #6);Cecily von Ziegesar;316735167;3.71
The Zero;Jess Walter;60898658;3.5
Zero: The Biography of a Dangerous Idea;Charles Seife;285635948;3.96
Zero Debt: The Ultimate Guide to Financial Freedom;Lynnette Khalfani;1932450750;3.65
The Hunt for Zero Point: Inside the Classified World of Antigravity Technology;Nick Cook;767906284;4.1
Year Zero;Jeff Long;1416534423;3.59
Count Zero (Sprawl  #2);William Gibson;441013678;4.01
Triple Zero  (Star Wars: Republic Commando  #2);Karen Traviss;345490096;4.24
Bravo Two Zero;Andy McNab;552153575;4.08
This Lullaby;Sarah Dessen;142501557;4.03
Lullabies for Little Criminals;Heather O'Neill;60875070;3.98
Hush! A Thai Lullaby;Minfong Ho-Holly Meade;531071669;4.02
Lullaby Town (Elvis Cole  #3);Robert Crais;752817000;4.13
The Iliad (SparkNotes Literature Guides);SparkNotes-Homer;1586633716;3.65
The Iliad;Homer;471377589;3.85
Elisabeth: The Princess Bride  Austria - Hungary  1853;Barry Denenberg;439266440;3.67
The Princess Bride (Long  Tall Texans  #15);Diana Palmer;373192827;3.89
The Sultan's Bought Bride  (Princess Brides  #1);Jane Porter;037312418X;3.72
The Sheik & the Princess Bride (Desert Rogues  #8);Susan Mallery;373246471;3.95
The Prince Kidnaps a Bride (Lost Princesses  #3);Christina Dodd;60561181;3.8
Stargirl (Stargirl  #1);Jerry Spinelli;440416779;3.76
Stargirl (Stargirl  #1);Jerry Spinelli;439488400;3.76
Love  Stargirl (Stargirl  #2);Jerry Spinelli;375813756;3.82
Stargirl LitPlans on CD;Mary B. Collins;158337292X;4.86
Son of the Mob (Son of the Mob  #1);Gordon Korman;786815930;3.72
Hollywood Hustle (Son of the Mob  #2);Gordon Korman;786809191;3.64
For the Sins of My Father: A Mafia Killer  His Son  and the Legacy of a Mob Life;Albert Demeo-Mary Jane Ross;767906896;4.05
El ojo de fuego;Lewis Perdue;848974615X;3.67
La vita sessuale di Catherine M.;Catherine Millet-Monica Capuani;8804509651;2.8
